"uuid","Name","Symbol","Price","Volume","Market_cap","Circulating_Supply","Image"
"eb395c41-94cc-4d9b-a59b-c56a86f60a15","Bitcoin","BTC","$41,244.76","$26,909,907,310","$784,008,431,894","19,008,681 BTC","https://s2.coinmarketcap.com/static/img/coins/64x64/1.png"
"8d6f3c8f-fac1-4d9f-bd8f-c85e5d10e93f","Ethereum","ETH","$3,053.86","$16,645,049,553","$367,933,873,733","120,333,053 ETH","https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png"
"8f270083-6573-40d8-a8b7-64cdcfe87318","Tether","USDT","$1.00","$61,521,056,156","$82,565,534,197","82,534,930,597 USDT","https://s2.coinmarketcap.com/static/img/coins/64x64/825.png"
"c49b2ca1-92fc-4988-aba2-d83448aca0cf","BNB","BNB","$404.48","$1,947,251,163","$66,875,291,137","165,116,761 BNB","https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png"
"dd150ce4-1924-487a-bb05-5a3628759b3f","USD Coin","USDC","$1.00","$3,415,493,001","$50,975,869,085","50,978,158,682 USDC","https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png"
"6e895ecf-f389-48d5-9395-364349428c2d","Solana","SOL","$104.40","$1,750,332,019","$34,386,185,310","327,952,476 SOL","https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png"
"a1ad4fc9-2577-443c-9c49-69925ba2a533","XRP","XRP","$0.713","$1,767,345,142","$34,314,364,883","48,135,209,660 XRP","https://s2.coinmarketcap.com/static/img/coins/64x64/52.png"
"41c0a73e-3676-4823-9d7d-07ae68d9fc88","Cardano","ADA","$0.9653","$1,040,973,108","$32,664,225,432","33,752,565,071 ADA","https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png"
"7bed6e9b-6993-4ce8-8047-419099d03cb6","Terra","LUNA","$86.42","$2,659,996,907","$30,710,724,060","354,851,796 LUNA","https://s2.coinmarketcap.com/static/img/coins/64x64/4172.png"
"cd38ccf8-41cc-471a-91b3-47ca04024c52","Avalanche","AVAX","$76.12","$886,876,073","$20,418,276,427","268,295,285 AVAX","https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png"
"074511c1-5490-4895-9b28-73fd6895d041","Dogecoin","DOGE","$0.1411","$1,987,258,390","$18,711,233,030","132,670,764,300 DOGE","https://s2.coinmarketcap.com/static/img/coins/64x64/74.png"
"0bebc020-a8d1-4781-bf68-e439ebfd4837","Binance USD","BUSD","$1.00","$4,075,565,820","$17,838,203,560","17,828,467,031 BUSD","https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png"
"2fcb04fe-6df5-49d9-b753-4e07351a4eee","Polkadot","DOT","$18.03","$862,983,293","$17,802,623,077","987,579,315 DOT","https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png"
"17f57359-7cbb-49b6-a713-4e6dde54a046","TerraUSD","UST","$1.00","$662,617,026","$16,744,895,798","16,735,689,605 UST","https://s2.coinmarketcap.com/static/img/coins/64x64/7129.png"
"cbe4c2ed-4c17-4d31-b7be-7b26ecb621d4","Shiba Inu","SHIB","$0.00002331","$729,162,242","$12,797,649,956","549,063,278,876,302 SHIB","https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png"
"25663bf6-f2ed-4276-ab6f-126d3ddaa132","Wrapped Bitcoin","WBTC","$41,191.43","$202,757,843","$11,365,931,635","275,930 WBTC","https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png"
"c9f87b43-742b-489c-9521-ffc6045c048d","Polygon","MATIC","$1.36","$504,721,981","$10,641,486,209","7,808,492,081 MATIC","https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png"
"b900a730-59c7-447f-abee-8b7e6c4e543f","Cronos","CRO","$0.4207","$45,588,129","$10,627,593,130","25,263,013,692 CRO","https://s2.coinmarketcap.com/static/img/coins/64x64/3635.png"
